image_id,subset_type,dicom_path,dicom_readable,image_width,image_height,rows_tag,columns_tag,photometric_interpretation,bits_stored,pixel_spacing,dicom_error,pixel_readable,pixel_ndim,pixel_empty,pixel_shape,pixel_shape_matches_rows_columns,pixel_min,pixel_max,pixel_mean,pixel_has_nan,pixel_has_inf,pixel_error
0005e8e3701dfb1dd93d53e2ff537b6e,abnormal,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\0005e8e3701dfb1dd93d53e2ff537b6e.dicom,True,3072,3072,3072,3072,MONOCHROME2,14,"['0.140', '0.140']",,True,2,False,"(3072, 3072)",True,0.0,16383.0,7755.744097815619,False,False,
0007d316f756b3fa0baea2ff514ce945,abnormal,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\0007d316f756b3fa0baea2ff514ce945.dicom,True,2304,2880,2880,2304,MONOCHROME1,12,"['0.15', '0.15']",,True,2,False,"(2880, 2304)",True,0.0,4094.0,1675.810809853636,False,False,
000d68e42b71d3eac10ccc077aba07c1,abnormal,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\000d68e42b71d3eac10ccc077aba07c1.dicom,True,2304,2880,2880,2304,MONOCHROME1,12,"['0.15', '0.15']",,True,2,False,"(2880, 2304)",True,0.0,4095.0,1428.8245138286072,False,False,
00150343289f317a0ad5629d5b7d9ef9,abnormal,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\00150343289f317a0ad5629d5b7d9ef9.dicom,True,2525,2508,2508,2525,MONOCHROME2,12,,,True,2,False,"(2508, 2525)",True,0.0,4095.0,2953.1251769387463,False,False,
001d127bad87592efe45a5c7678f8b8d,abnormal,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\001d127bad87592efe45a5c7678f8b8d.dicom,True,3072,3072,3072,3072,MONOCHROME2,14,"['0.140', '0.140']",,True,2,False,"(3072, 3072)",True,0.0,16383.0,8733.739928139581,False,False,
00291f7aff0123ea76a59998effef229,normal,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\00291f7aff0123ea76a59998effef229.dicom,True,3072,3072,3072,3072,MONOCHROME2,14,"['0.140', '0.140']",,True,2,False,"(3072, 3072)",True,0.0,16383.0,8153.042521688673,False,False,
0046f681f078851293c4e710c4466058,abnormal,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\0046f681f078851293c4e710c4466058.dicom,True,2304,2880,2880,2304,MONOCHROME1,12,"['0.15', '0.15']",,True,2,False,"(2880, 2304)",True,0.0,4095.0,1485.842271442178,False,False,
004d2bc2111d639f5e8441ced52d55cb,normal,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\004d2bc2111d639f5e8441ced52d55cb.dicom,True,2048,2500,2500,2048,MONOCHROME2,12,"['0.168', '0.168']",,True,2,False,"(2500, 2048)",True,0.0,3833.0,1495.85299609375,False,False,
0061cf6d35e253b6e7f03940592cc35e,abnormal,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\0061cf6d35e253b6e7f03940592cc35e.dicom,True,2540,3072,3072,2540,MONOCHROME2,14,"['0.140', '0.140']",,True,2,False,"(3072, 2540)",True,0.0,16383.0,8256.97883089321,False,False,
00675cd546313f912cadd4ad54415d69,abnormal,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train\00675cd546313f912cadd4ad54415d69.dicom,True,2606,2992,2992,2606,MONOCHROME2,12,,,True,2,False,"(2992, 2606)",True,0.0,4095.0,1866.834737606757,False,False,
