file_path,image_id,selected_reader_column,num_unique_readers,num_annotation_rows
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,0005e8e3701dfb1dd93d53e2ff537b6e,rad_id,3,5
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,0007d316f756b3fa0baea2ff514ce945,rad_id,3,11
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,000d68e42b71d3eac10ccc077aba07c1,rad_id,3,16
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,00150343289f317a0ad5629d5b7d9ef9,rad_id,3,17
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,001d127bad87592efe45a5c7678f8b8d,rad_id,3,6
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,00291f7aff0123ea76a59998effef229,rad_id,3,3
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,0046f681f078851293c4e710c4466058,rad_id,3,11
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,004d2bc2111d639f5e8441ced52d55cb,rad_id,3,3
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,0061cf6d35e253b6e7f03940592cc35e,rad_id,3,7
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,00675cd546313f912cadd4ad54415d69,rad_id,3,6
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,008b3176a7248a0a189b5731ac8d2e95,rad_id,3,12
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,009d4c31ebf87e51c5c8c160a4bd8006,rad_id,3,9
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,009d837e29ba400e03856cf8d6a5b545,rad_id,3,5
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,00a9f697d85a506d5b281f588addce4e,rad_id,3,3
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,00aca42a24e4ea6066cca2546150c36e,rad_id,3,9
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,00bcb82818ea83d6a86df241762cd7d0,rad_id,3,5
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,00e25f831ccd21bd41b558cfccbf1be7,rad_id,3,3
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,00f2f97f74e086e1f82acc285ee4a5c5,rad_id,3,8
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,010018c93ed33ae56ed048ee54867e46,rad_id,3,18
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,0108949daa13dc94634a7d650a05c0bb,rad_id,3,6
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,010a3dbb67bc37800a041866844861b1,rad_id,3,8
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,011244ab511b20130d846f5f8f0c3866,rad_id,3,3
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,0114c5cd093c742334d5a5fa14140421,rad_id,3,9
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,011ae9520e81f1efe71c9d954ec07d09,rad_id,3,18
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,013893a5fa90241c65c3efcdbdd2cec1,rad_id,3,8
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,014e3dd712dc90f61da7ce8747d8c4c0,rad_id,3,3
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,01546d3e6175ceaabd7d92f0c566579d,rad_id,3,6
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,01570ee44031e4ebab6031501293bf66,rad_id,3,7
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,015d74d7d2667a9b93b8909283af38c8,rad_id,3,3
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,015e332b702e4829710941ab7265bd1d,rad_id,3,5
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,0162dad8330007f8f0daf43bcf4033f1,rad_id,3,7
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,0187da5fd71c7a2917346bf12a67bbe4,rad_id,3,3
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,01892129d76aaa1f59d4b22df8a14c0b,rad_id,3,3
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,018a2fe44c3451281ec338c27ecc9c53,rad_id,3,15
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,018b348fd699821cdbc5bdc0b329982c,rad_id,3,5
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,018ef9c5d5b20c5161a5c48703171c3b,rad_id,3,3
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,01a3c3d994d85ce5634d2d13c03fd4b0,rad_id,3,14
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,01afcfaabc406f0fe1797cb7fa6616c6,rad_id,3,6
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,01b0510a8d3b0860429536653db5eb21,rad_id,3,8
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,01c2b9fcb0384c84648ed76c736552a8,rad_id,3,7
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,01cbbeab94b4d2bfd5cd8a467fee46a7,rad_id,3,9
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,01d6446afde9fbf4332904bc331e9660,rad_id,3,6
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,01ee6e560f083255a630c41bba779405,rad_id,3,12
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,01f88c998eea22d21ee144bc3edfd261,rad_id,3,3
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,01fec681f2d698497151a88d6c5205a1,rad_id,3,7
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,020717d6ab0b440b37978d9bace9f9b2,rad_id,3,10
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,0211f9fe31142ba1e25fb6a2ea3fea38,rad_id,3,8
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,021ed4f8af985c0fc68335abb2cf2ed7,rad_id,3,3
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,02222df826791117f315ecb2b58c5b69,rad_id,3,3
data/raw/vinbigdata/metadata_subset/subset_train_annotations.csv,023a8b8557d1fd59f272c63be6f3d4c0,rad_id,3,10
