image_id,image_type,num_bbox,num_invalid_bbox,num_valid_bbox,num_unique_classes,has_invalid_bbox,has_duplicate_candidate,mean_bbox_area,median_bbox_area,min_bbox_area,max_bbox_area
0005e8e3701dfb1dd93d53e2ff537b6e,abnormal,5,0,5,4,False,True,89893.2,91486.0,87185.0,91805.0
0007d316f756b3fa0baea2ff514ce945,abnormal,11,0,11,5,False,False,71263.45,45046.0,10812.0,194670.0
000d68e42b71d3eac10ccc077aba07c1,abnormal,16,0,16,5,False,False,356576.88,109642.0,1320.0,1871456.0
00150343289f317a0ad5629d5b7d9ef9,abnormal,17,0,17,7,False,False,101185.35,67571.0,15360.0,320394.0
001d127bad87592efe45a5c7678f8b8d,abnormal,6,0,6,2,False,False,148923.0,104882.0,1920.0,311448.0
00291f7aff0123ea76a59998effef229,normal,0,0,0,0,False,False,,,,
0046f681f078851293c4e710c4466058,abnormal,11,0,11,4,False,False,154525.0,97344.0,4230.0,321389.0
004d2bc2111d639f5e8441ced52d55cb,normal,0,0,0,0,False,False,,,,
0061cf6d35e253b6e7f03940592cc35e,abnormal,7,0,7,4,False,False,17746.0,15840.0,6912.0,43688.0
00675cd546313f912cadd4ad54415d69,abnormal,6,0,6,2,False,False,326395.33,313484.0,83166.0,563101.0
008b3176a7248a0a189b5731ac8d2e95,abnormal,12,0,12,4,False,False,169806.42,28794.0,5986.0,389112.0
009d4c31ebf87e51c5c8c160a4bd8006,abnormal,9,0,9,5,False,False,705024.22,343970.0,13068.0,1845474.0
009d837e29ba400e03856cf8d6a5b545,abnormal,5,0,5,2,False,False,45629.0,37625.0,16698.0,69864.0
00a9f697d85a506d5b281f588addce4e,normal,0,0,0,0,False,False,,,,
00aca42a24e4ea6066cca2546150c36e,abnormal,9,0,9,5,False,False,171390.67,104000.0,36349.0,472406.0
00bcb82818ea83d6a86df241762cd7d0,abnormal,5,0,5,5,False,False,102554.2,65720.0,30316.0,248624.0
00e25f831ccd21bd41b558cfccbf1be7,normal,0,0,0,0,False,False,,,,
00f2f97f74e086e1f82acc285ee4a5c5,abnormal,8,0,8,5,False,False,96017.75,50009.0,4959.0,357396.0
010018c93ed33ae56ed048ee54867e46,abnormal,18,0,18,5,False,False,109751.61,67026.0,1369.0,502692.0
0108949daa13dc94634a7d650a05c0bb,abnormal,6,0,6,2,False,False,206412.83,199872.5,45355.0,383420.0
010a3dbb67bc37800a041866844861b1,abnormal,8,0,8,4,False,False,200787.5,100506.5,68040.0,444959.0
011244ab511b20130d846f5f8f0c3866,abnormal,3,0,3,1,False,False,403592.0,388020.0,381186.0,441570.0
0114c5cd093c742334d5a5fa14140421,abnormal,9,0,9,5,False,False,72581.78,22152.0,4802.0,322920.0
011ae9520e81f1efe71c9d954ec07d09,abnormal,18,0,18,8,False,False,134191.5,45904.5,4453.0,718620.0
013893a5fa90241c65c3efcdbdd2cec1,abnormal,8,0,8,5,False,False,113950.62,89500.0,11413.0,380754.0
014e3dd712dc90f61da7ce8747d8c4c0,abnormal,3,0,3,2,False,False,60012.67,68628.0,41778.0,69632.0
01546d3e6175ceaabd7d92f0c566579d,abnormal,6,0,6,4,False,False,275888.0,251097.0,1998.0,685400.0
01570ee44031e4ebab6031501293bf66,abnormal,7,0,7,5,False,False,481934.29,524124.0,31920.0,717992.0
015d74d7d2667a9b93b8909283af38c8,normal,0,0,0,0,False,False,,,,
015e332b702e4829710941ab7265bd1d,abnormal,5,0,5,2,False,False,115897.0,56160.0,35335.0,250734.0
0162dad8330007f8f0daf43bcf4033f1,abnormal,7,0,7,4,False,False,164504.57,82333.0,589.0,484920.0
0187da5fd71c7a2917346bf12a67bbe4,abnormal,3,0,3,1,False,False,952296.67,811434.0,495456.0,1550000.0
01892129d76aaa1f59d4b22df8a14c0b,normal,0,0,0,0,False,False,,,,
018a2fe44c3451281ec338c27ecc9c53,abnormal,15,0,15,6,False,False,338052.33,132468.0,16926.0,898192.0
018b348fd699821cdbc5bdc0b329982c,abnormal,5,0,5,4,False,False,73590.0,43442.0,21240.0,180340.0
018ef9c5d5b20c5161a5c48703171c3b,abnormal,3,0,3,2,False,False,86259.67,33200.0,16104.0,209475.0
01a3c3d994d85ce5634d2d13c03fd4b0,abnormal,14,0,14,5,False,False,206557.43,132764.0,94526.0,443486.0
01afcfaabc406f0fe1797cb7fa6616c6,abnormal,6,0,6,2,False,True,187367.5,161886.0,24649.0,369489.0
01b0510a8d3b0860429536653db5eb21,abnormal,8,0,8,5,False,False,30031.25,31078.5,4972.0,63714.0
01c2b9fcb0384c84648ed76c736552a8,abnormal,7,0,7,3,False,False,209755.43,103894.0,1470.0,426556.0
01cbbeab94b4d2bfd5cd8a467fee46a7,abnormal,9,0,9,4,False,False,165201.78,110424.0,11770.0,340680.0
01d6446afde9fbf4332904bc331e9660,abnormal,6,0,6,4,False,False,226737.5,159759.5,7770.0,476797.0
01ee6e560f083255a630c41bba779405,abnormal,12,0,12,6,False,False,93255.67,44366.0,4602.0,298284.0
01f88c998eea22d21ee144bc3edfd261,abnormal,3,0,3,1,False,False,263238.33,291200.0,176144.0,322371.0
01fec681f2d698497151a88d6c5205a1,abnormal,7,0,7,3,False,False,153521.14,155288.0,5311.0,402822.0
020717d6ab0b440b37978d9bace9f9b2,abnormal,10,0,10,5,False,False,606720.9,310581.0,50304.0,1994142.0
0211f9fe31142ba1e25fb6a2ea3fea38,abnormal,8,0,8,4,False,False,89532.25,53275.0,1444.0,321308.0
021ed4f8af985c0fc68335abb2cf2ed7,abnormal,3,0,3,1,False,False,65114.0,60756.0,57834.0,76752.0
02222df826791117f315ecb2b58c5b69,abnormal,3,0,3,1,False,False,80942.0,100656.0,39260.0,102910.0
023a8b8557d1fd59f272c63be6f3d4c0,abnormal,10,0,10,4,False,False,25974.5,12773.5,1330.0,64239.0
024f9140bd829c346fc91fcf4009d251,abnormal,23,0,23,3,False,False,409149.96,296352.0,95140.0,1085656.0
025534801b62d61f1c1c9e571ea74695,abnormal,5,0,5,2,False,False,704762.4,914143.0,76110.0,1295920.0
02562eb68a9c682f5f644fa7a099733f,abnormal,18,0,18,4,False,False,14324.44,3710.0,925.0,63558.0
02617da0a33fe0446a508186417c2646,abnormal,12,0,12,4,False,False,100851.92,59600.0,7154.0,346064.0
027c56d37095bcc595ddd429f96902ae,abnormal,9,0,9,4,False,False,379495.11,378378.0,16165.0,599400.0
028fcc44d3104099480e897541a1ecc3,abnormal,9,0,9,5,False,False,248243.67,110028.0,42653.0,592424.0
02957c14fee52ac6d0617e6d86275a25,abnormal,5,0,5,2,False,False,66821.6,96976.0,5220.0,120184.0
02a4774868d677ef8ecff2168c0161c0,abnormal,14,0,14,7,False,False,375851.86,455809.0,25368.0,944526.0
02acf0e7d0932f9c6a06fd4bbe1f5d90,abnormal,7,0,7,3,False,False,205900.29,130410.0,88000.0,362880.0
02cbfa27d9e4b1d8c279932cd82e0730,normal,0,0,0,0,False,False,,,,
02cd1d17763c869ff3d4af5e28539456,abnormal,12,0,12,4,False,False,105632.5,46860.0,15301.0,304029.0
02d9d0c89022adc381c23e72add7c389,abnormal,7,0,7,4,False,False,115728.43,69741.0,16560.0,294972.0
02de1ec3340e75fd5e7294a84a0342a1,abnormal,6,0,6,2,False,False,320890.83,319126.0,172674.0,474444.0
02efc4e2e6e71e024fbfecb404a008a4,abnormal,6,0,6,2,False,False,392948.0,382123.0,95900.0,714974.0
02fe3eea41166a1d3eb75307a12c4a63,abnormal,9,0,9,3,False,False,76471.44,16698.0,5168.0,234500.0
032111ac5bb2e0cbb9a22745a77eef8f,normal,0,0,0,0,False,False,,,,
0339aac16e3dd93ee397315a224147a6,abnormal,3,0,3,1,False,False,80482.0,81950.0,63609.0,95887.0
033dae57cec0aca171d47090f299bed2,abnormal,7,0,7,3,False,False,209288.71,143370.0,20054.0,375003.0
033e1637bed9b9f3dccac9c6c419adc2,abnormal,9,0,9,4,False,False,29004.0,24167.0,12376.0,64500.0
03431b577d1ccf075e930c4c4913c079,abnormal,5,0,5,2,False,False,478597.4,695898.0,78705.0,756504.0
034cf2b503a9a7efe404f000fb988534,abnormal,19,0,19,8,False,False,222159.79,171600.0,30960.0,568932.0
035480fbf46e946e21e7dce78637c329,abnormal,8,0,8,5,False,False,148071.12,135154.0,7920.0,298062.0
035b53e8aabf8763537a296c291135d1,abnormal,3,0,3,2,False,False,250295.67,300547.0,64158.0,386182.0
036161ca6aa4daa43cc3bc55602e8960,normal,0,0,0,0,False,False,,,,
036b9096b099f0f6c5611da078f73e43,abnormal,5,0,5,2,False,False,260833.6,146493.0,122436.0,505383.0
03810755ae5721d65884360e3bccbf9b,abnormal,6,0,6,2,False,False,214510.33,205712.0,67266.0,388080.0
038a7c88fcd819549f430c1fd907658c,abnormal,5,0,5,2,False,False,338434.6,276451.0,148056.0,572634.0
038fc325ff4aa0a21c76d5dd7c740c89,abnormal,15,0,15,6,False,False,117286.87,80840.0,18048.0,380549.0
0391d2388a2442f14d055d5089a747c6,abnormal,5,0,5,2,False,False,283814.4,302250.0,95858.0,469202.0
039c6997248b3a6ba3c909af35fce0eb,abnormal,5,0,5,3,False,True,271094.0,392280.0,21470.0,454526.0
03a6078c0c12fb076b50ae017e590e19,abnormal,10,0,10,5,False,False,101253.9,31559.0,6500.0,372999.0
03cd593a310656563a5aa3886ff30380,abnormal,9,0,9,4,False,False,209841.0,254828.0,64347.0,335124.0
03dd99aa091caee7b0ce8efdf7f274d5,abnormal,6,0,6,2,False,False,245654.17,241729.0,64032.0,425712.0
03e6ecfa6f6fb33dfeac6ca4f9b459c9,abnormal,57,0,57,2,False,False,129823.86,6750.0,2205.0,1879060.0
03f0bf0a7403c050a7ce574f98fd8ab6,abnormal,7,0,7,3,False,False,244941.14,123000.0,24115.0,499380.0
04031e57794b9e8861e3c65e935f11d2,abnormal,3,0,3,1,False,False,242467.33,225472.0,222794.0,279136.0
041081d11262c5f150e655f5e5ff0a2c,abnormal,3,0,3,1,False,False,138658.33,81130.0,73326.0,261519.0
041664dfb960a15686d7e9c4c7b4fd73,normal,0,0,0,0,False,False,,,,
041762ff7fe435f22ea7541e77bfeafa,abnormal,8,0,8,5,False,False,51920.75,59585.0,19328.0,72670.0
0424e80c4f0cae6ea9e65efeed75d5d0,normal,0,0,0,0,False,False,,,,
044c53b3fd48fc029318fbcee70ae0d1,abnormal,8,0,8,3,False,False,101810.38,90245.0,3604.0,175350.0
0452d38f45e4e79f91821e88bb812608,abnormal,6,0,6,2,False,False,226606.83,224517.0,63984.0,409799.0
0453de2faeb8d349af739a68d9dee1cb,abnormal,6,0,6,5,False,False,19570.17,11988.0,10098.0,59136.0
0464251a01ee7eeedd2a537dafc82844,abnormal,3,0,3,1,False,False,832754.67,796240.0,715528.0,986496.0
046ad82db74a4155eaff3586b0d1e068,abnormal,17,0,17,8,False,False,229297.76,133224.0,17670.0,714150.0
047182a6e86808669f896307dcd550c7,abnormal,4,0,4,2,False,False,56970.25,64761.0,19564.0,78795.0
0491b08361fdfb9359cad9d6a078f275,abnormal,5,0,5,2,False,False,635344.6,550154.0,426822.0,859320.0
04923676c5e29c25966fbd07fa12e2e8,abnormal,6,0,6,3,False,False,308380.67,276025.5,15447.0,585377.0
04994993c9e416f32ce24c7e7501d3be,abnormal,6,0,6,2,False,False,66193.5,64080.0,20853.0,119988.0
