image_id,class_id,class_name,x_min,y_min,x_max,y_max,bbox_width,bbox_height,bbox_area,bbox_aspect_ratio,bbox_area_group,bbox_width_group,bbox_height_group
9a5094b2563a1ef3ff50dc5c7ff71345,3,Cardiomegaly,691.0,1375.0,1653.0,1831.0,962.0,456.0,438672.0,2.1096491228070176,large,width_large,height_large
051132a778e61a86eb147c7c6f564dfe,0,Aortic enlargement,1264.0,743.0,1611.0,1019.0,347.0,276.0,95772.0,1.2572463768115942,medium,width_medium,height_medium
1c32170b4af4ce1a3030eb8167753b06,11,Pleural thickening,627.0,357.0,947.0,433.0,320.0,76.0,24320.0,4.2105263157894735,small,width_medium,height_small
0c7a38f293d5f5e4846aa4ca6db4daf1,5,ILD,1347.0,245.0,2188.0,2169.0,841.0,1924.0,1618084.0,0.4371101871101871,very_large,width_large,height_very_large
47ed17dcb2cbeec15182ed335a8b5a9e,8,Nodule/Mass,557.0,2352.0,675.0,2484.0,118.0,132.0,15576.0,0.8939393939393939,small,width_small,height_small
d3637a1935a905b3c326af31389cb846,0,Aortic enlargement,1329.0,743.0,1521.0,958.0,192.0,215.0,41280.0,0.8930232558139535,medium,width_small,height_medium
afb6230703512afc370f236e8fe98806,13,Pulmonary fibrosis,1857.0,1607.0,2126.0,2036.0,269.0,429.0,115401.0,0.627039627039627,medium,width_medium,height_medium
7c1add6833d5f0102b0d3619a1682a64,7,Lung Opacity,600.0,1332.0,903.0,1523.0,303.0,191.0,57873.0,1.5863874345549738,medium,width_medium,height_medium
18a61a07e6f5f13ebfee57fa36cd8b6f,13,Pulmonary fibrosis,393.0,283.0,822.0,643.0,429.0,360.0,154440.0,1.1916666666666667,medium,width_medium,height_medium
321c111713c3ee5385db0effb54ff568,0,Aortic enlargement,1292.0,554.0,1477.0,805.0,185.0,251.0,46435.0,0.7370517928286853,medium,width_small,height_medium
80caa435b6ab5edaff4a0a758ffaec6e,1,Atelectasis,331.0,462.0,1384.0,2365.0,1053.0,1903.0,2003859.0,0.5533368365738308,very_large,width_large,height_very_large
5da264775732004f1b724b660138854a,0,Aortic enlargement,1635.0,673.0,1978.0,1151.0,343.0,478.0,163954.0,0.7175732217573222,medium,width_medium,height_large
fb8e11c6b2886b2d41b379e0598669b9,0,Aortic enlargement,1390.0,878.0,1616.0,1163.0,226.0,285.0,64410.0,0.7929824561403509,medium,width_medium,height_medium
0622cd29e4e0e4f198abf15614819ae8,3,Cardiomegaly,1044.0,1579.0,2098.0,1971.0,1054.0,392.0,413168.0,2.688775510204082,large,width_large,height_medium
347180362348e522905047dde655b6d7,11,Pleural thickening,1155.0,204.0,1414.0,268.0,259.0,64.0,16576.0,4.046875,small,width_medium,height_very_small
22b8e616a61bbc4caaed0cf23b7159df,13,Pulmonary fibrosis,615.0,800.0,898.0,1107.0,283.0,307.0,86881.0,0.9218241042345277,medium,width_medium,height_medium
c394eadea89e5795c8037280492d116d,9,Other lesion,0.0,839.0,274.0,2168.0,274.0,1329.0,364146.0,0.20617005267118135,large,width_medium,height_very_large
be1bb194dfb986bf7554b491852b8901,7,Lung Opacity,2233.0,1536.0,2518.0,1827.0,285.0,291.0,82935.0,0.979381443298969,medium,width_medium,height_medium
d7aea6f37597df566725da73655edcc2,6,Infiltration,1768.0,1137.0,2346.0,2020.0,578.0,883.0,510374.0,0.6545866364665912,large,width_medium,height_large
8ae85268313b0db2f58d2193aab645c9,9,Other lesion,1898.0,850.0,2401.0,2074.0,503.0,1224.0,615672.0,0.41094771241830064,large,width_medium,height_very_large
8e063eadea9a6aeb684c893c8598be3e,8,Nodule/Mass,376.0,1867.0,438.0,1914.0,62.0,47.0,2914.0,1.3191489361702127,very_small,width_very_small,height_very_small
04bb8bd7ee6f88a16623fe5c6dd4da91,10,Pleural effusion,655.0,1188.0,1354.0,2049.0,699.0,861.0,601839.0,0.8118466898954704,large,width_large,height_large
