image_id,subset_type
0005e8e3701dfb1dd93d53e2ff537b6e,abnormal
0007d316f756b3fa0baea2ff514ce945,abnormal
000d68e42b71d3eac10ccc077aba07c1,abnormal
00150343289f317a0ad5629d5b7d9ef9,abnormal
001d127bad87592efe45a5c7678f8b8d,abnormal
0046f681f078851293c4e710c4466058,abnormal
0061cf6d35e253b6e7f03940592cc35e,abnormal
00675cd546313f912cadd4ad54415d69,abnormal
008b3176a7248a0a189b5731ac8d2e95,abnormal
009d4c31ebf87e51c5c8c160a4bd8006,abnormal
009d837e29ba400e03856cf8d6a5b545,abnormal
00aca42a24e4ea6066cca2546150c36e,abnormal
00bcb82818ea83d6a86df241762cd7d0,abnormal
00f2f97f74e086e1f82acc285ee4a5c5,abnormal
010018c93ed33ae56ed048ee54867e46,abnormal
0108949daa13dc94634a7d650a05c0bb,abnormal
010a3dbb67bc37800a041866844861b1,abnormal
011244ab511b20130d846f5f8f0c3866,abnormal
0114c5cd093c742334d5a5fa14140421,abnormal
011ae9520e81f1efe71c9d954ec07d09,abnormal
013893a5fa90241c65c3efcdbdd2cec1,abnormal
014e3dd712dc90f61da7ce8747d8c4c0,abnormal
01546d3e6175ceaabd7d92f0c566579d,abnormal
01570ee44031e4ebab6031501293bf66,abnormal
015e332b702e4829710941ab7265bd1d,abnormal
0162dad8330007f8f0daf43bcf4033f1,abnormal
0187da5fd71c7a2917346bf12a67bbe4,abnormal
018a2fe44c3451281ec338c27ecc9c53,abnormal
018b348fd699821cdbc5bdc0b329982c,abnormal
018ef9c5d5b20c5161a5c48703171c3b,abnormal
01a3c3d994d85ce5634d2d13c03fd4b0,abnormal
01afcfaabc406f0fe1797cb7fa6616c6,abnormal
01b0510a8d3b0860429536653db5eb21,abnormal
01c2b9fcb0384c84648ed76c736552a8,abnormal
01cbbeab94b4d2bfd5cd8a467fee46a7,abnormal
01d6446afde9fbf4332904bc331e9660,abnormal
01ee6e560f083255a630c41bba779405,abnormal
01f88c998eea22d21ee144bc3edfd261,abnormal
01fec681f2d698497151a88d6c5205a1,abnormal
020717d6ab0b440b37978d9bace9f9b2,abnormal
0211f9fe31142ba1e25fb6a2ea3fea38,abnormal
021ed4f8af985c0fc68335abb2cf2ed7,abnormal
