image_id,subset_type
00291f7aff0123ea76a59998effef229,normal
004d2bc2111d639f5e8441ced52d55cb,normal
00a9f697d85a506d5b281f588addce4e,normal
00e25f831ccd21bd41b558cfccbf1be7,normal
015d74d7d2667a9b93b8909283af38c8,normal
01892129d76aaa1f59d4b22df8a14c0b,normal
02cbfa27d9e4b1d8c279932cd82e0730,normal
032111ac5bb2e0cbb9a22745a77eef8f,normal
036161ca6aa4daa43cc3bc55602e8960,normal
041664dfb960a15686d7e9c4c7b4fd73,normal
0424e80c4f0cae6ea9e65efeed75d5d0,normal
04e78baf5f049a01b6b4f9a14f0b7c78,normal
063319de25ce7edb9b1c6b8881290140,normal
07e5378ad3928091c08dded1f6b5353d,normal
089a1c26766c10e2d8c4cdb86ed769dc,normal
09ebaedff630f8fa4d5d752f0beb34f2,normal
0a475ad0b37bba0c638bbbe2ee5d355d,normal
0a695a94168b32705b91779586c6b2e7,normal
0ad98c531de3616cc63a92d6cf871494,normal
0b36cce0b170c34b8c11fd15b42324b2,normal
0c4a6bc602d1d207f217212c68a7131b,normal
0cd291c189895fbdcc14f4d36e1abc81,normal
0cf8dd905fb4f2f876eb241bf67add40,normal
0d0e4dbe84356f8ec4a4ff7616b4850f,normal
0ec4947d689af2a94cc913b312368279,normal
0f8a78e1090c840b4455772fe92d7586,normal
0fb6d9a425117670ba7c249b35523434,normal
101d984c4172312c93efdd42e37e203b,normal
101f2420808891cab10b4b2f0c1d2875,normal
107d7671377160a4a5d708849ed5d331,normal
112db7d495906f3358852756a87a4bbf,normal
11b47878746ba8728eda0f9eed048639,normal
11cfa1a5b04bd1eaa319d08cdb308bb9,normal
12735a3e6ae44fe59babe2a618dbc450,normal
13183cb48b0aae02e88c3f45547d393a,normal
144e272e04daf6ac8d36548ea766da37,normal
14783d2f57f9c689d827892bbe112cb8,normal
14877acfaf8e3b25d9f089e15887c20d,normal
15f016248709de49e2b725bda5cdd787,normal
1688c69504b9fd2179225d4b03e677c0,normal
171c5e2bbf7f95d2fb60a8bd81dc9d37,normal
1734a9172a7aa8106b1f32bf7b280e28,normal
179c892993a09dd56d4d09be53489d74,normal
